Gateway Name,Gateway SN,Gateway IP Address,Gateway MAC Address,Device Name,Device Local ID,Device Type ID,Device Type Name,Logging Interval,Historical Intervals
Demo Room ComX510,DN15315SE000036,192.168.10.40,00:80:67:F9:62:F8,M221 PLC,31,10000,CustomModel_2,2,7

,,,Topic ID1,Topic ID2,Topic ID3
,,,1003,1018,1621

Error,UTC Offset (minutes),Local Time Stamp,Current A (A),Voltage A-N (V),Active energy (Wh)
0,0,05-18-2017 09:26:00,4500,1.2266154289245605,100000
0,0,05-18-2017 09:28:00,4739,1.2266154289245605,100000
0,0,05-18-2017 09:30:00,9,0,0
0,0,05-18-2017 09:32:00,245,1.2339999675750732,0
0,0,05-18-2017 09:34:00,482,1.2339999675750732,0
0,0,05-18-2017 09:36:00,209,20.900043487548828,999000
0,0,05-18-2017 09:38:00,447,44.69989013671875,999000
